,ID,RA,Dec,simbad_name,Morphology,Morphology_Detailed
253,A05_012T02_9000002602, 9:48:42.614, 50:29:31.128,Mrk  124,Seyfert_1,Seyfert 1 Galaxy
254,A05_013T01_9000002944, 13:24:59, -43:07:34,,No identification within 1 arcsec,
255,A05_013T01_9000003070, 13:24:59, -43:07:34,,No identification within 1 arcsec,
256,A05_019T01_9000002672, 03:24:41.1, +34:10:46,QSO J0324+3410,BLLac,BL Lac - type object
257,A05_019T01_9000002688, 03:24:41.1, +34:10:46,QSO J0324+3410,BLLac,BL Lac - type object
258,A05_019T01_9000002718, 03:24:41.1, +34:10:46,QSO J0324+3410,BLLac,BL Lac - type object
259,A05_022T08_9000002950, 13:18:54.809, -21:2:20.796,NGC  5068,Galaxy,Galaxy
260,A05_022T08_9000002980, 13:18:54.809, -21:2:20.796,NGC  5068,Galaxy,Galaxy
261,A05_022T08_9000003036, 13:18:54.809, -21:2:20.796,NGC  5068,Galaxy,Galaxy
262,A05_022T09_9000003058, 19:9:46.099, -63:51:27.108,NGC  6744,GinGroup,Galaxy in Group of Galaxies
263,A05_025T04_9000002652, 05:14:06.76, -40:02:47.6,NGC  1851,GlCl,Globular Cluster
264,A05_025T04_9000003110, 05:14:06.76, -40:02:47.6,NGC  1851,GlCl,Globular Cluster
265,A05_025T16_9000002560, 06:48:59.41, -36:00:19.1,NGC  2298,GlCl,Globular Cluster
266,A05_025T17_9000002858, 16:26:25.99, -72:16:07.9,TYC 9282-2284-1,Star,Star
267,A05_025T17_9000003084, 16:26:25.99, -72:16:07.9,TYC 9282-2284-1,Star,Star
268,A05_025T18_9000002932, 18:18:37.60, -52:12:56.8,NGC  6584,GlCl,Globular Cluster
269,A05_025T18_9000003096, 18:18:37.60, -52:12:56.8,NGC  6584,GlCl,Globular Cluster
270,A05_034T01_9000002404, 20:41:51.159, -32:26:6.828,V* AT Mic,Eruptive*,Eruptive variable Star
271,A05_037T01_9000003140, 19:42:40.576, -10:19:25.500,NGC  6814,Seyfert_1,Seyfert 1 Galaxy
272,A05_037T01_9000003144, 19:42:40.576, -10:19:25.500,NGC  6814,Seyfert_1,Seyfert 1 Galaxy
273,A05_041T01_9000003150, 00:33:37.60, +28:44:21.00,AGC 102983,Galaxy,Galaxy
274,A05_046T01_9000002834, 17:28:19.901, -14:15:56.016,,No identification within 1 arcsec,
275,A05_046T01_9000002838, 17:28:19.901, -14:15:56.016,,No identification within 1 arcsec,
276,A05_056T01_9000002498, 03:33:50.00, -27:58:00.00,,No identification within 1 arcsec,
277,A05_056T01_9000002540, 03:33:50.00, -27:58:00.00,,No identification within 1 arcsec,
278,A05_056T01_9000002604, 03:33:50.00, -27:58:00.00,,No identification within 1 arcsec,
279,A05_059T03_9000002474, 01:01:29.4, -70:29:11.7,,No identification within 1 arcsec,
280,A05_059T04_9000002476, 01:04:40.4, -71:13:30.3,,No identification within 1 arcsec,
281,A05_059T05_9000002478, 01:08:12.9, -70:58:08.9,,No identification within 1 arcsec,
282,A05_059T07_9000002480, 01:13:04.4, -71:02:18.2,,No identification within 1 arcsec,
283,A05_063T02_9000002708, 11:42:50.97, +20:26:31.85,SDSS J114250.97+202631.8,Galaxy,Galaxy
284,A05_063T03_9000002840, 16:29:51.04, +39:45:59.50,UGC 10420,LINER,LINER-type Active Galaxy Nucleus
285,A05_063T03_9000003066, 16:29:51.04, +39:45:59.50,UGC 10420,LINER,LINER-type Active Galaxy Nucleus
286,A05_064T01_9000002450, 11:36:26.4, +70:09:27,6C 113337+702604,BLLac,BL Lac - type object
287,A05_064T01_9000002964, 11:36:26.4, +70:09:27,6C 113337+702604,BLLac,BL Lac - type object
288,A05_068T01_9000002580, 08:51:18.00, 11:48:0.00,,No identification within 1 arcsec,
289,A05_069T01_9000002424, 20:51:31.59, +29:04:03.8,,No identification within 1 arcsec,
290,A05_069T02_9000002414, 20:49:02.08, +30:24:17.9,,No identification within 1 arcsec,
291,A05_069T02_9000002422, 20:49:02.08, +30:24:17.9,,No identification within 1 arcsec,
292,A05_069T02_9000003038, 20:49:02.08, +30:24:17.9,,No identification within 1 arcsec,
293,A05_069T03_9000002416, 20:47:32.63, +30:44:28.1,,No identification within 1 arcsec,
294,A05_069T03_9000002426, 20:47:32.63, +30:44:28.1,,No identification within 1 arcsec,
295,A05_069T04_9000002418, 20:49:42.24, +29:59:19.9,,No identification within 1 arcsec,
296,A05_069T04_9000002428, 20:49:42.24, +29:59:19.9,,No identification within 1 arcsec,
297,A05_069T05_9000002420, 20:51:09.85, +30:04:16.8,,No identification within 1 arcsec,
298,A05_072T02_9000002736, 13:12:55.30, +18:10:09.0,,No identification within 1 arcsec,
299,A05_072T02_9000002762, 13:12:55.30, +18:10:09.0,,No identification within 1 arcsec,
300,A05_072T04_9000002794, 16:41:46.85, +36:32:37.0,,No identification within 1 arcsec,
301,A05_072T04_9000002802, 16:41:46.85, +36:32:37.0,,No identification within 1 arcsec,
302,A05_072T04_9000003040, 16:41:46.85, +36:32:37.0,,No identification within 1 arcsec,
303,A05_072T04_9000003094, 16:41:46.85, +36:32:37.0,,No identification within 1 arcsec,
304,A05_072T05_9000002394, 19:39:59.71, -30:57:53.1,M  55,GlCl,Globular Cluster
305,A05_074T02_9000002504, 0:37:41.107, -33:42:58.790,NAME Cartwheel,Galaxy,Galaxy
306,A05_074T02_9000002572, 0:37:41.107, -33:42:58.790,NAME Cartwheel,Galaxy,Galaxy
307,A05_075T01_9000002768, 12:35:44.0, +42:51:24.0,,No identification within 1 arcsec,
308,A05_075T03_9000002940, 13:08:42.0, +44:05:54.0,,No identification within 1 arcsec,
309,A05_075T05_9000002764, 14:33:54.0, +42:39:13.0,,No identification within 1 arcsec,
310,A05_075T05_9000003116, 14:33:54.0, +42:39:13.0,,No identification within 1 arcsec,
311,A05_075T06_9000002766, 14:26:33.0, +43:51:15.0,,No identification within 1 arcsec,
312,A05_075T06_9000003104, 14:26:33.0, +43:51:15.0,,No identification within 1 arcsec,
313,A05_075T07_9000002760, 14:38:29.0, +33:20:07.0,,No identification within 1 arcsec,
314,A05_075T08_9000002744, 15:02:09.0, +29:44:46.0,,No identification within 1 arcsec,
315,A05_075T09_9000002740, 15:21:39.0, +29:07:30.0,,No identification within 1 arcsec,
316,A05_075T10_9000002842, 15:43:31.0, 44:03:09.0,,No identification within 1 arcsec,
317,A05_078T01_9000002462, 0:24:5.359, -72:4:53.200,PSR J0024-7204V,Pulsar,Pulsar
318,A05_082T08_9000002698, 12:33:51.612, 19:53:11.760,SDSS J123351.60+195311.7,AGN,Active Galaxy Nucleus
319,A05_082T09_9000002978, 12:57:41.050, 20:23:47.796,IC 3929,Seyfert_1,Seyfert 1 Galaxy
320,A05_082T09_9000003054, 12:57:41.050, 20:23:47.796,IC 3929,Seyfert_1,Seyfert 1 Galaxy
321,A05_082T10_9000002774, 13:36:38.347, 20:32:32.928,2MASS J13363835+2032327,AGN,Active Galaxy Nucleus
322,A05_082T12_9000002738, 14:27:22.834, 20:5:49.344,2MASX J14272281+2005493,Seyfert_2,Seyfert 2 Galaxy
323,A05_082T12_9000002754, 14:27:22.834, 20:5:49.344,2MASX J14272281+2005493,Seyfert_2,Seyfert 2 Galaxy
324,A05_083T01_9000002772, 13:42:11.227, 28:22:31.620,Cl* NGC 5272    DSZ      20,BlueStraggler,Blue Straggler Star
325,A05_084T04_9000002694, 3:26:17.251, -21:20:6.792,[LB2005] NGC  1332 X1,X,X-ray source
326,A05_084T06_9000002626, 3:35:16.589, -35:13:34.500,NGC  1374,GinPair,Galaxy in Pair of Galaxies
327,A05_085T01_9000002658, 06:00:47.944, -39:55:06.90,2MASX J06004799-3955068,EmG,Emission-line galaxy
328,A05_088T02_9000002850, 16:37:43.89, +29:43:39.70,,No identification within 1 arcsec,
329,A05_088T02_9000003106, 16:37:43.89, +29:43:39.70,,No identification within 1 arcsec,
330,A05_088T03_9000002808, 16:00:43.60, +31:10:14.70,,No identification within 1 arcsec,
331,A05_088T03_9000003042, 16:00:43.60, +31:10:14.70,,No identification within 1 arcsec,
